Date	Geno	Sex	Fly_num	h201	SOR	suc_1	SOR	KCl_1	SOR	h20_2	SOR	suc_2	SOR	KCl_2	SOR	h20_3	SOR	Sucrose_before_salt	Wetted_Flug
27-Nov	oresde3	m	3	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	oresde3	m	1	1	S	1	S	0	0	0	0	0	0	0	0	1	S	n	n
27-Nov	oresde3	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	orewt	m	1	0	0	1	w	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	orewt	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	orewt	m	3	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	m	4	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	m	5	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	m	6	0	0	1	S	1	S	0	0	0	0	0	0	0	0	n	y
27-Nov	orewt	m	7	0	0	1	S	1	S	0	0	1	S	1	S	1	S	n	y
27-Nov	orewt	m	8	0	0	1	w	1	w	0	0	1	w	1	w	0	0	n	y
27-Nov	orewt	m	9	0	0	1	S	0	0	0	0	1	S	0	0	1	S	n	y
27-Nov	orewt	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	orewt	m	2	1	S	1	S	0	0	0	0	1	S	0	0	0	0	n	n
27-Nov	orewt	m	3	0	0	1	S	1	S	0	0	1	S	1	S	0	0	n	n
27-Nov	orewt	m	4	0	0	1	S	1	S	0	0	1	S	0	0	0	0	n	n
27-Nov	orewt	m	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	orewt	m	6	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	orewt	m	7	1	S	1	S	1	S	1	S	1	S	0	0	1	S	n	n
27-Nov	orewt	m	8	0	0	1	S	1	S	0	0	1	S	1	S	1	S	n	n
27-Nov	orewt	m	9	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	n
27-Nov	samwt	m	1	1	S	1	S	1	S	1	S	1	S	1	S	1	S	n	y
27-Nov	samwt	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	m	5	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	m	2	0	0	0	0	1	w	0	0	0	0	0	0	1	w	n	n
27-Nov	samwt	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	m	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n

